GeneID:388611	CD164 molecule like 2
GeneID:5122	proprotein convertase subtilisin/kexin type 1
GeneID:206338	laeverin
GeneID:202243	coiled-coil domain containing 125
GeneID:64777	required for meiotic nuclear division 5 homolog B
GeneID:3340	N-deacetylase and N-sulfotransferase 1
GeneID:79888	lysophosphatidylcholine acyltransferase 1
GeneID:11282	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
GeneID:1812	dopamine receptor D1
GeneID:2324	fms related tyrosine kinase 4
GeneID:6932	transcription factor 7
GeneID:83734	autophagy related 10
GeneID:6167	ribosomal protein L37
GeneID:10007	glucosamine-6-phosphate deaminase 1
GeneID:4131	microtubule associated protein 1B
GeneID:9509	ADAM metallopeptidase with thrombospondin type 1 motif 2
GeneID:91942	NADH:ubiquinone oxidoreductase complex assembly factor 2
GeneID:27430	methionine adenosyltransferase 2B
GeneID:56102	protocadherin gamma subfamily B, 3
GeneID:9260	PDZ and LIM domain 7
GeneID:51247	poly(A) binding protein interacting protein 2
GeneID:309	annexin A6
GeneID:90933	tripartite motif containing 41
GeneID:22838	ring finger protein 44
GeneID:26167	protocadherin beta 5
GeneID:2878	glutathione peroxidase 3
GeneID:56127	protocadherin beta 9
GeneID:56128	protocadherin beta 8
GeneID:9794	mastermind like transcriptional coactivator 1
GeneID:10309	cyclin O
GeneID:55109	angiogenic factor with G-patch and FHA domains 1
GeneID:11336	exocyst complex component 3
GeneID:10569	SLU7 homolog, splicing factor
GeneID:25929	gem nuclear organelle associated protein 5
GeneID:10826	fatty acid hydroxylase domain containing 2
GeneID:11082	endothelial cell specific molecule 1
GeneID:9547	C-X-C motif chemokine ligand 14
GeneID:253260	RPTOR independent companion of MTOR complex 2
GeneID:64848	YTH domain containing 2
GeneID:5201	prefoldin subunit 1
GeneID:6228	ribosomal protein S23
GeneID:9812	DAP3 binding cell death enhancer 1
GeneID:4437	mutS homolog 3
GeneID:1879	EBF transcription factor 1
GeneID:64087	methylcrotonoyl-CoA carboxylase 2
GeneID:102157402	adenylate kinase 6
GeneID:57179	KIAA1191
GeneID:202333	cardiomyopathy associated 5
GeneID:3937	lymphocyte cytosolic protein 2
GeneID:64097	erythrocyte membrane protein band 4.1 like 4A
GeneID:2149	coagulation factor II thrombin receptor
GeneID:10085	EGF like repeats and discoidin domains 3
GeneID:80230	RUN and FYVE domain containing 1
GeneID:5480	peptidylprolyl isomerase C
GeneID:64105	centromere protein K
GeneID:133482	solute carrier organic anion transporter family member 6A1
GeneID:6507	solute carrier family 1 member 3
GeneID:10605	poly(A) binding protein interacting protein 1
GeneID:134510	ubiquitin like domain containing CTD phosphatase 1
GeneID:133746	junction mediating and regulatory protein, p53 cofactor
GeneID:84340	G elongation factor mitochondrial 2
GeneID:80758	proline rich 7, synaptic
GeneID:64374	SIL1 nucleotide exchange factor
GeneID:54908	spindle apparatus coiled-coil protein 1
GeneID:2690	growth hormone receptor
GeneID:6531	solute carrier family 6 member 3
GeneID:9604	ring finger protein 14
GeneID:84868	hepatitis A virus cellular receptor 2
GeneID:64901	RAN binding protein 17
GeneID:6534	solute carrier family 6 member 7
GeneID:4488	msh homeobox 2
GeneID:84105	pterin-4 alpha-carbinolamine dehydratase 2
GeneID:9867	praja ring finger ubiquitin ligase 2
GeneID:10636	regulator of G protein signaling 14
GeneID:81037	CLPTM1 like
GeneID:83853	rhophilin associated tail protein 1 like
GeneID:57486	neurolysin
GeneID:26262	tetraspanin 17
GeneID:23194	F-box and leucine rich repeat protein 7
GeneID:411	arylsulfatase B
GeneID:64924	solute carrier family 30 member 5
GeneID:53918	pelota mRNA surveillance and ribosome rescue factor
GeneID:10399	receptor for activated C kinase 1
GeneID:51617	neuronal vesicle trafficking associated 2
GeneID:57763	ankyrin repeat family A member 2
GeneID:22948	chaperonin containing TCP1 subunit 5
GeneID:117156	secretoglobin family 3A member 2
GeneID:353189	solute carrier organic anion transporter family member 4C1
GeneID:64167	endoplasmic reticulum aminopeptidase 2
GeneID:6569	solute carrier family 34 member 1
GeneID:10409	brain abundant membrane attached signal protein 1
GeneID:285613	RELT like 2
GeneID:100130733	leucine rich repeat containing 70
GeneID:8878	sequestosome 1
GeneID:63920	zinc finger BED-type containing 8
GeneID:115123	membrane associated ring-CH-type finger 3
GeneID:5813	purine rich element binding protein A
GeneID:1462	versican
GeneID:133558	maestro heat like repeat family member 2B
GeneID:5307	paired like homeodomain 1
GeneID:65980	bromodomain containing 9
GeneID:54974	tRNA-histidine guanylyltransferase 1 like
GeneID:23743	betaine--homocysteine S-methyltransferase 2
GeneID:1729	diaphanous related formin 1
GeneID:79810	pentatricopeptide repeat domain 2
GeneID:2246	fibroblast growth factor 1
GeneID:2760	GM2 ganglioside activator
GeneID:51151	solute carrier family 45 member 2
GeneID:51663	zinc finger RNA binding protein
GeneID:27089	ubiquinol-cytochrome c reductase complex III subunit VII
GeneID:337876	chondroitin sulfate synthase 3
GeneID:1495	catenin alpha 1
GeneID:6620	synuclein beta
GeneID:23517	Mtr4 exosome RNA helicase
GeneID:735	complement C9
GeneID:6880	TATA-box binding protein associated factor 9
GeneID:7905	receptor accessory protein 5
GeneID:995	cell division cycle 25C
GeneID:9443	mediator complex subunit 7
GeneID:153572	iroquois homeobox 2
GeneID:85480	thymic stromal lymphopoietin
GeneID:9963	solute carrier family 23 member 1
GeneID:153579	butyrophilin like 9
GeneID:1008	cadherin 10
GeneID:9456	homer scaffold protein 1
GeneID:4338	molybdenum cofactor synthesis 2
GeneID:167410	limb and CNS expressed 1
GeneID:501	aldehyde dehydrogenase 7 family member A1
GeneID:3575	interleukin 7 receptor
GeneID:1016	cadherin 18
GeneID:2299	forkhead box I1
GeneID:153339	transmembrane protein 167A
GeneID:55819	ring finger protein 130
GeneID:83989	family with sequence similarity 172 member A
GeneID:11044	terminal nucleotidyltransferase 4A
GeneID:814	calcium/calmodulin dependent protein kinase IV
GeneID:23600	alpha-methylacyl-CoA racemase
GeneID:9522	secretory carrier membrane protein 1
GeneID:9782	matrin 3
GeneID:167227	decapping mRNA 2
GeneID:324	APC regulator of WNT signaling pathway
GeneID:79685	SAP30 like
GeneID:51014	transmembrane p24 trafficking protein 7
GeneID:56134	protocadherin alpha subfamily C, 2
GeneID:11346	synaptopodin
GeneID:134492	NudC domain containing 2
GeneID:92259	mitochondrial ribosomal protein S36
GeneID:2150	F2R like trypsin receptor 1
GeneID:54888	NOP2/Sun RNA methyltransferase 2
GeneID:56172	ANKH inorganic pyrophosphate transport regulator
GeneID:7025	nuclear receptor subfamily 2 group F member 1
GeneID:134548	sosondowah ankyrin repeat domain family member A
GeneID:7060	thrombospondin 4
GeneID:22936	elongation factor for RNA polymerase II 2
GeneID:64411	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
GeneID:90268	OTU deubiquitinase with linear linkage specificity
GeneID:285598	ADP ribosylation factor like GTPase 10
GeneID:10412	NSA2 ribosome biogenesis factor
GeneID:285636	chromosome 5 open reading frame 51
GeneID:54732	transmembrane p24 trafficking protein 9
GeneID:114898	C1q and TNF related 2
GeneID:3035	histidyl-tRNA synthetase 1
GeneID:7903	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
GeneID:2533	FYN binding protein 1
GeneID:3094	histidine triad nucleotide binding protein 1
GeneID:94081	sideroflexin 1
GeneID:4015	lysyl oxidase
GeneID:3313	heat shock protein family A (Hsp70) member 9
GeneID:5618	prolactin receptor
GeneID:4090	SMAD family member 5
GeneID:134285	transmembrane protein 171
GeneID:51523	CXXC finger protein 5
GeneID:81555	Yip1 domain family member 5
GeneID:51520	leucyl-tRNA synthetase 1
GeneID:643854	CTAGE family member 9
GeneID:6954	t-complex 11
GeneID:100133941	CD24 molecule
GeneID:9287	trace amine associated receptor 2 (gene/pseudogene)
GeneID:5980	REV3 like, DNA directed polymerase zeta catalytic subunit
GeneID:26212	olfactory receptor family 2 subfamily B member 6
GeneID:7020	transcription factor AP-2 alpha
GeneID:319100	trace amine associated receptor 6
GeneID:245927	defensin beta 113
GeneID:257202	glutathione peroxidase 6
GeneID:114841037	Uncharacterized protein 114841037
GeneID:221409	spermatogenesis associated serine rich 1
GeneID:2030	solute carrier family 29 member 1 (Augustine blood group)
GeneID:3841	karyopherin subunit alpha 5
GeneID:221443	O-acyl-ADP-ribose deacylase 1
GeneID:7430	ezrin
GeneID:7942	transcription factor EB
GeneID:387082	small ubiquitin like modifier 4
GeneID:23564	dimethylarginine dimethylaminohydrolase 2
GeneID:221710	small integral membrane protein 13
GeneID:389396	glycine-N-acyltransferase like 3
GeneID:54806	Abelson helper integration site 1
GeneID:23	ATP binding cassette subfamily F member 1
GeneID:389400	GDNF family receptor alpha like
GeneID:116511	MAS1 proto-oncogene like, G protein-coupled receptor
GeneID:8737	receptor interacting serine/threonine kinase 1
GeneID:81697	olfactory receptor family 2 subfamily B member 2
GeneID:10786	solute carrier family 17 member 3
GeneID:3120	major histocompatibility complex, class II, DQ beta 2
GeneID:55862	ethylmalonyl-CoA decarboxylase 1
GeneID:84539	melanin concentrating hormone receptor 2
GeneID:3134	major histocompatibility complex, class I, F
GeneID:441150	chromosome 6 open reading frame 226
GeneID:441151	transmembrane protein 151B
GeneID:442184	olfactory receptor family 2 subfamily B member 3
GeneID:1616	death domain associated protein
GeneID:401236	stathmin domain containing 1
GeneID:154197	PARN like, ribonuclease domain containing 1
GeneID:285782	cancer antigen 1
GeneID:114781	BTB domain containing 9
GeneID:2911	glutamate metabotropic receptor 1
GeneID:22881	ankyrin repeat domain 6
GeneID:57699	copine 5
GeneID:221545	chromosome 6 open reading frame 136
GeneID:401258	RAB44, member RAS oncogene family
GeneID:9589	WT1 associated protein
GeneID:26235	F-box and leucine rich repeat protein 4
GeneID:401285	t-complex 10 like 2
GeneID:114821	zinc finger BED-type containing 9
GeneID:11149	blood vessel epicardial substance
GeneID:253582	transmembrane protein 244
GeneID:167826	oligodendrocyte transcription factor 3
GeneID:346007	eyes shut homolog
GeneID:245913	defensin beta 110
GeneID:101928603	armadillo like helical domain containing 2
GeneID:90523	muscular LMNA interacting protein
GeneID:245928	defensin beta 114
GeneID:79541	olfactory receptor family 2 subfamily A member 4
GeneID:63940	G protein signaling modulator 3
GeneID:23500	dishevelled associated activator of morphogenesis 2
GeneID:59084	ectonucleotide pyrophosphatase/phosphodiesterase family member 5
GeneID:221395	adhesion G protein-coupled receptor F5
GeneID:84694	gap junction protein alpha 10
GeneID:7128	TNF alpha induced protein 3
GeneID:221656	lysine demethylase 1B
GeneID:135644	tripartite motif containing 40
GeneID:221662	RNA binding motif protein 24
GeneID:1769	dynein axonemal heavy chain 8
GeneID:7148	tenascin XB
GeneID:4337	molybdenum cofactor synthesis 1
GeneID:89845	ATP binding cassette subfamily C member 10
GeneID:2295	forkhead box F2
GeneID:4602	MYB proto-oncogene, transcription factor
GeneID:101929726	myomixer, myoblast fusion factor
GeneID:389376	surfactant associated 2
GeneID:167681	serine protease 35
GeneID:6659	SRY-box transcription factor 4
GeneID:378884	NHL repeat containing E3 ubiquitin protein ligase 1
GeneID:79624	acidic residue methyltransferase 1
GeneID:51465	ubiquitin conjugating enzyme E2 J1
GeneID:60682	small ArfGAP 1
GeneID:167691	lebercilin LCA5
GeneID:60685	zinc finger AN1-type containing 3
GeneID:89870	tripartite motif containing 15
GeneID:221711	synaptonemal complex protein 2 like
GeneID:27154	bromodomain and PHD finger containing 3
GeneID:83732	RIO kinase 1
GeneID:3605	interleukin 17A
GeneID:57621	zinc finger and BTB domain containing 2
GeneID:1302	collagen type XI alpha 2 chain
GeneID:3354	5-hydroxytryptamine receptor 1E
GeneID:6941	transcription factor 19
GeneID:154141	membrane bound O-acyltransferase domain containing 1
GeneID:23070	cap methyltransferase 1
GeneID:221476	peptidase inhibitor 16
GeneID:6950	t-complex 1
GeneID:39	acetyl-CoA acetyltransferase 2
GeneID:345895	radial spoke head component 4A
GeneID:23593	heme binding protein 2
GeneID:81706	protein phosphatase 1 regulatory inhibitor subunit 14C
GeneID:100507436	MHC class I polypeptide-related sequence A
GeneID:9774	BCL2 associated transcription factor 1
GeneID:245806	vestigial like family member 2
GeneID:5167	ectonucleotide pyrophosphatase/phosphodiesterase 1
GeneID:387119	centrosomal protein 85 like
GeneID:55603	terminal nucleotidyltransferase 5A
GeneID:5429	DNA polymerase eta
GeneID:23607	CD2 associated protein
GeneID:8504	peroxisomal biogenesis factor 3
GeneID:389432	sterile alpha motif domain containing 5
GeneID:115004	cyclic GMP-AMP synthase
GeneID:153918	zinc finger C2HC-type containing 1B
GeneID:57150	small integral membrane protein 8
GeneID:56895	1-acylglycerol-3-phosphate O-acyltransferase 4
GeneID:2880	glutathione peroxidase 5
GeneID:10048	RAN binding protein 9
GeneID:577	adhesion G protein-coupled receptor B3
GeneID:56897	WRN helicase interacting protein 1
GeneID:10050	solute carrier family 17 member 4
GeneID:55362	transmembrane protein 63B
GeneID:79683	zinc finger DHHC-type containing 14
GeneID:348995	nucleoporin 43
GeneID:3910	laminin subunit alpha 4
GeneID:100128327	trafficking protein particle complex 3 like
GeneID:60487	tRNA methyltransferase 11 homolog
GeneID:206412	chromosome 6 open reading frame 163
GeneID:50508	NADPH oxidase 3
GeneID:51020	HD domain containing 2
GeneID:6222	ribosomal protein S18
GeneID:23118	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
GeneID:6991	t-complex-associated-testis-expressed 3
GeneID:6992	protein phosphatase 1 regulatory inhibitor subunit 11
GeneID:441168	calcium homeostasis modulator family member 6
GeneID:24149	zinc finger protein 318
GeneID:3159	high mobility group AT-hook 1
GeneID:221527	zinc finger and BTB domain containing 12
GeneID:80736	solute carrier family 44 member 4
GeneID:80737	von Willebrand factor A domain containing 7
GeneID:89953	kinesin light chain 4
GeneID:401250	mitochondrial coiled-coil domain 1
GeneID:154467	coiled-coil domain containing 167
GeneID:51299	neuritin 1
GeneID:80740	lymphocyte antigen 6 family member G6C
GeneID:51557	lengsin, lens protein with glutamine synthetase domain
GeneID:154215	sodium/potassium transporting ATPase interacting 2
GeneID:100129128	KH domain containing 1 like
GeneID:79465	UL16 binding protein 3
GeneID:10090	uronyl 2-sulfotransferase
GeneID:222826	family with sequence similarity 217 member A
GeneID:116843	solute carrier family 18 member B1
GeneID:221294	5'-nucleotidase domain containing 1
GeneID:51567	tyrosyl-DNA phosphodiesterase 2
GeneID:7280	tubulin beta 2A class IIa
GeneID:647024	chromosome 6 open reading frame 132
GeneID:6005	Rh associated glycoprotein
GeneID:54901	CDK5 regulatory subunit associated protein 1 like 1
GeneID:5238	phosphoglucomutase 3
GeneID:221302	zinc finger containing ubiquitin peptidase 1
GeneID:221303	family with sequence similarity 162 member B
GeneID:222584	family with sequence similarity 83 member B
GeneID:57211	adhesion G protein-coupled receptor G6
GeneID:135293	peptidase M20 domain containing 2
GeneID:259197	natural cytotoxicity triggering receptor 3
GeneID:8831	synaptic Ras GTPase activating protein 1
GeneID:4224	meprin A subunit alpha
GeneID:26240	family with sequence similarity 50 member B
GeneID:55937	apolipoprotein M
GeneID:2178	FA complementation group E
GeneID:81797	olfactory receptor family 12 subfamily D member 3
GeneID:442247	ret finger protein like 4B
GeneID:9096	T-box transcription factor 18
GeneID:2444	fyn related Src family tyrosine kinase
GeneID:84624	fibronectin type III domain containing 1
GeneID:129685	TATA-box binding protein associated factor 8
GeneID:84630	tau tubulin kinase 1
GeneID:221336	BEN domain containing 6
GeneID:57497	leucine rich repeat and fibronectin type III domain containing 2
GeneID:23195	midasin AAA ATPase 1
GeneID:116379	interleukin 22 receptor subunit alpha 2
GeneID:285852	triggering receptor expressed on myeloid cells like 4
GeneID:58527	ABRA C-terminal like
GeneID:51362	cell division cycle 40
GeneID:57510	exportin 5
GeneID:167	cysteine rich secretory protein 1
GeneID:81833	sperm acrosome associated 1
GeneID:90025	ubiquitin protein ligase E3D
GeneID:63915	biogenesis of lysosomal organelles complex 1 subunit 5
GeneID:8876	vanin 1
GeneID:154288	KH domain containing 3 like, subcortical maternal complex member
GeneID:340146	solute carrier family 35 member D3
GeneID:222642	translocator protein 2
GeneID:2739	glyoxalase I
GeneID:222643	unc-5 family C-terminal like
GeneID:6580	solute carrier family 22 member 1
GeneID:26036	zinc finger protein 451
GeneID:170679	psoriasis susceptibility 1 candidate 1
GeneID:9656	mediator of DNA damage checkpoint 1
GeneID:340152	zinc finger CCCH-type containing 12D
GeneID:170680	psoriasis susceptibility 1 candidate 2
GeneID:29113	chromosome 6 open reading frame 15
GeneID:4794	NFKB inhibitor epsilon
GeneID:84154	ribosome production factor 2 homolog
GeneID:404672	general transcription factor IIH subunit 5
GeneID:5570	cAMP-dependent protein kinase inhibitor beta
GeneID:257218	SNF2 histone linker PHD RING helicase
GeneID:23493	hes related family bHLH transcription factor with YRPW motif 2
GeneID:49861	claudin 20
GeneID:4295	motilin
GeneID:340168	developmental pluripotency associated 5
GeneID:619208	family with sequence similarity 229 member B
GeneID:154313	cilia and flagella associated protein 206
GeneID:25803	SAM pointed domain containing ETS transcription factor
GeneID:10957	proline rich nuclear receptor coactivator 1
GeneID:5071	parkin RBR E3 ubiquitin protein ligase
GeneID:720	complement C4A (Rodgers blood group)
GeneID:154064	retinoic acid early transcript 1L
GeneID:6610	sphingomyelin phosphodiesterase 2
GeneID:55510	DEAD-box helicase 43
GeneID:221400	tudor domain containing 6
GeneID:80345	zinc finger and SCAN domain containing 16
GeneID:113115	mitochondrial fission regulator 2
GeneID:55003	PAK1 interacting protein 1
GeneID:93663	Rho GTPase activating protein 18
GeneID:375519	gap junction protein beta 7
GeneID:55776	SAYSVFN motif domain containing 1
GeneID:8417	syntaxin 7
GeneID:9444	QKI, KH domain containing RNA binding
GeneID:55780	ER membrane associated RNA degradation
GeneID:6885	mitogen-activated protein kinase kinase kinase 7
GeneID:6631	small nuclear ribonucleoprotein polypeptide C
GeneID:352999	chromosome 6 open reading frame 58
GeneID:8936	WASP family member 1
GeneID:10473	high mobility group nucleosomal binding domain 4
GeneID:222698	NFKB activating protein like
GeneID:7915	aldehyde dehydrogenase 5 family member A1
GeneID:154091	solute carrier family 2 member 12
GeneID:134637	adenosine deaminase tRNA specific 2
GeneID:7407	valyl-tRNA synthetase 1
GeneID:51439	family with sequence similarity 8 member A1
GeneID:135152	beta-1,3-glucuronyltransferase 2
GeneID:7920	abhydrolase domain containing 16A
GeneID:51696	hdc homolog, cell cycle regulator
GeneID:135154	succinate dehydrogenase complex assembly factor 4
GeneID:7922	solute carrier family 39 member 7
GeneID:25842	anti-silencing function 1A histone chaperone
GeneID:83443	splicing factor 3b subunit 5
GeneID:10486	cyclase associated actin cytoskeleton regulatory protein 2
GeneID:6903	tubulin folding cofactor C
GeneID:2296	forkhead box C1
GeneID:405754	endogenous retrovirus group FRD member 1, envelope
GeneID:113402	SFT2 domain containing 1
GeneID:23036	zinc finger protein 292
GeneID:23294	ankyrin repeat and sterile alpha motif domain containing 1A
GeneID:100113407	transmembrane protein 170B
GeneID:8705	beta-1,3-galactosyltransferase 4
GeneID:80129	coiled-coil domain containing 170
GeneID:9474	autophagy related 5
GeneID:64771	inflammation and lipid regulator with UBA-like and NBR1-like domains
GeneID:202500	t-complex-associated-testis-expressed 1
GeneID:1797	decapping exoribonuclease
GeneID:2309	forkhead box O3
GeneID:7941	phospholipase A2 group VII
GeneID:2822	glycosylphosphatidylinositol specific phospholipase D1
GeneID:10758	TRAF3 interacting protein 2
GeneID:389383	colipase like 2
GeneID:7432	vasoactive intestinal peptide
GeneID:7180	cysteine rich secretory protein 2
GeneID:64780	microtubule associated monooxygenase, calponin and LIM domain containing 1
GeneID:5134	programmed cell death 2
GeneID:10767	HBS1 like translational GTPase
GeneID:8464	SPT3 homolog, SAGA and STAGA complex component
GeneID:57107	decaprenyl diphosphate synthase subunit 2
GeneID:1300	collagen type X alpha 1 chain
GeneID:7957	EPM2A glucan phosphatase, laforin
GeneID:3096	HIVEP zinc finger 1
GeneID:3097	HIVEP zinc finger 2
GeneID:4121	mannosidase alpha class 1A member 1
GeneID:94234	forkhead box Q1
GeneID:9247	glial cells missing transcription factor 2
GeneID:221472	FYVE, RhoGEF and PH domain containing 2
GeneID:57120	golgi associated PDZ and coiled-coil motif containing
GeneID:3617	interphotoreceptor matrix proteoglycan 1
GeneID:28962	osteoclastogenesis associated transmembrane protein 1
GeneID:3108	major histocompatibility complex, class II, DM alpha
GeneID:4646	myosin VI
GeneID:7718	zinc finger protein 165
GeneID:154150	HDGF like 1
GeneID:3111	major histocompatibility complex, class II, DO alpha
GeneID:10279	serine protease 16
GeneID:1832	desmoplakin
GeneID:3112	major histocompatibility complex, class II, DO beta
GeneID:10537	ubiquitin D
GeneID:4907	5'-nucleotidase ecto
GeneID:55084	sine oculis binding protein homolog
GeneID:28973	mitochondrial ribosomal protein S18B
GeneID:389421	lin-28 homolog B
GeneID:9519	TATA-box binding protein like 1
GeneID:10799	ribonuclease P/MRP subunit p40
GeneID:22832	centrosomal protein 162
GeneID:55856	acyl-CoA thioesterase 13
GeneID:23345	spectrin repeat containing nuclear envelope protein 1
GeneID:28978	transmembrane protein 14A
GeneID:221491	small integral membrane protein 29
GeneID:60468	BTB domain and CNC homolog 2
GeneID:3127	major histocompatibility complex, class II, DR beta 5
GeneID:221496	LEM domain containing 2
GeneID:5689	proteasome 20S subunit beta 1
GeneID:51513	ETS variant transcription factor 7
GeneID:10554	1-acylglycerol-3-phosphate O-acyltransferase 1
GeneID:203068	tubulin beta class I
GeneID:9532	BCL2 associated athanogene 2
GeneID:9533	RNA polymerase I and III subunit C
GeneID:6206	ribosomal protein S12
GeneID:202559	KH RNA binding domain containing, signal transduction associated 2
GeneID:221504	zinc finger and BTB domain containing 9
GeneID:7745	zinc finger with KRAB and SCAN domains 8
GeneID:9025	ring finger protein 8
GeneID:11329	serine/threonine kinase 38
GeneID:85313	peptidylprolyl isomerase like 4
GeneID:64577	aldehyde dehydrogenase 8 family member A1
GeneID:578	BCL2 antagonist/killer 1
GeneID:6722	serum response factor
GeneID:51522	transmembrane protein 14C
GeneID:353091	retinoic acid early transcript 1G
GeneID:5190	peroxisomal biogenesis factor 6
GeneID:5191	peroxisomal biogenesis factor 7
GeneID:3400	inhibitor of DNA binding 4, HLH protein
GeneID:134728	interleukin 1 receptor associated kinase 1 binding protein 1
GeneID:8521	glial cells missing transcription factor 1
GeneID:84553	failed axon connections homolog, metaxin like GST domain containing
GeneID:23113	cullin 9
GeneID:54346	unc-93 homolog A
GeneID:84300	ubiquinol-cytochrome c reductase complex assembly factor 2
GeneID:3662	interferon regulatory factor 4
GeneID:5454	POU class 3 homeobox 2
GeneID:79694	mannosidase endo-alpha
GeneID:6993	dynein light chain Tctex-type 1
GeneID:29777	activator of basal transcription 1
GeneID:55633	TBC1 domain family member 22B
GeneID:594	branched chain keto acid dehydrogenase E1 subunit beta
GeneID:222546	regulatory factor X6
GeneID:55122	akirin 2
GeneID:81491	G protein-coupled receptor 63
GeneID:347734	solute carrier family 35 member B2
GeneID:4439	mutS homolog 5
GeneID:222553	solute carrier family 35 member F1
GeneID:57691	KIAA1586
GeneID:860	RUNX family transcription factor 2
GeneID:9308	CD83 molecule
GeneID:51805	coenzyme Q3, methyltransferase
GeneID:10590	secretagogin, EF-hand calcium binding protein
GeneID:6239	ras responsive element binding protein 1
GeneID:11104	katanin catalytic subunit A1
GeneID:79969	alpha tubulin acetyltransferase 1
GeneID:2914	glutamate metabotropic receptor 4
GeneID:28514	delta like canonical Notch ligand 1
GeneID:25957	PNN interacting serine and arginine rich protein
GeneID:54887	UHRF1 binding protein 1
GeneID:285800	proline rich 18
GeneID:112744	interleukin 17F
GeneID:114792	kelch like family member 32
GeneID:4201	male-enhanced antigen 1
GeneID:5225	progastricsin
GeneID:10345	triadin
GeneID:11116	FGFR1 oncogene partner
GeneID:7021	transcription factor AP-2 beta
GeneID:112495	general transcription factor IIIC subunit 6
GeneID:2162	coagulation factor XIII A chain
GeneID:30834	zinc ribbon domain containing 1
GeneID:54898	ELOVL fatty acid elongase 2
GeneID:9590	A-kinase anchoring protein 12
GeneID:4216	mitogen-activated protein kinase kinase kinase 4
GeneID:4217	mitogen-activated protein kinase kinase kinase 5
GeneID:10107	tripartite motif containing 10
GeneID:11131	calpain 11
GeneID:892	cyclin C
GeneID:2941	glutathione S-transferase alpha 4
GeneID:3710	inositol 1,4,5-trisphosphate receptor type 3
GeneID:55166	centromere protein Q
GeneID:383	arginase 1
GeneID:639	PR/SET domain 1
GeneID:6015	ring finger protein 1
GeneID:9856	KIAA0319
GeneID:6785	ELOVL fatty acid elongase 4
GeneID:4739	neural precursor cell expressed, developmentally down-regulated 9
GeneID:79747	androglobin
GeneID:55173	mitochondrial ribosomal protein S10
GeneID:3720	jumonji and AT-rich interaction domain containing 2
GeneID:5514	protein phosphatase 1 regulatory subunit 10
GeneID:653	bone morphogenetic protein 5
GeneID:25998	inhibitor of Bruton tyrosine kinase
GeneID:116369	solute carrier family 26 member 8
GeneID:26002	monooxygenase DBH like 1
GeneID:27283	tubulointerstitial nephritis antigen
GeneID:4758	neuraminidase 1
GeneID:29078	NADH:ubiquinone oxidoreductase complex assembly factor 4
GeneID:154007	small nuclear ribonucleoprotein U11/U12 subunit 48
GeneID:114327	EF-hand domain containing 1
GeneID:5528	protein phosphatase 2 regulatory subunit B'delta
GeneID:9113	large tumor suppressor kinase 1
GeneID:168090	chromosome 6 open reading frame 118
GeneID:11165	nudix hydrolase 3
GeneID:670	biphenyl hydrolase like
GeneID:6046	bromodomain containing 2
GeneID:167838	taxilin beta
GeneID:6048	ring finger protein 5
GeneID:64928	mitochondrial ribosomal protein L14
GeneID:57505	alanyl-tRNA synthetase 2, mitochondrial
GeneID:51106	transcription factor B1, mitochondrial
GeneID:85413	solute carrier family 22 member 16
GeneID:8870	immediate early response 3
GeneID:54438	glucose-fructose oxidoreductase domain containing 1
GeneID:8871	synaptojanin 2
GeneID:2729	glutamate-cysteine ligase catalytic subunit
GeneID:88745	ribosomal RNA processing 36
GeneID:81578	collagen type XXI alpha 1 chain
GeneID:116138	kelch domain containing 3
GeneID:57515	serine incorporator 1
GeneID:5292	Pim-1 proto-oncogene, serine/threonine kinase
GeneID:134829	clavesin 2
GeneID:6581	solute carrier family 22 member 3
GeneID:6582	solute carrier family 22 member 2
GeneID:1208	colipase
GeneID:4795	NFKB inhibitor like 1
GeneID:154043	CNKSR family member 3
GeneID:50619	DEF6 guanine nucleotide exchange factor
GeneID:57531	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
GeneID:29116	myosin regulatory light chain interacting protein
GeneID:80317	zinc finger with KRAB and SCAN domains 3
GeneID:51389	RWD domain containing 1
GeneID:51390	androgen induced 1
GeneID:705	bystin like
GeneID:54209	triggering receptor expressed on myeloid cells 2
GeneID:5314	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
GeneID:10690	fucosyltransferase 9
GeneID:353219	kidney associated antigen 1
GeneID:222659	peroxisomal testis enriched protein 1
GeneID:65989	delta like non-canonical Notch ligand 2
GeneID:8645	potassium two pore domain channel subfamily K member 5
GeneID:26054	SUMO specific peptidase 6
GeneID:222662	LHFPL tetraspan subfamily member 5
GeneID:222663	signal peptide, CUB domain and EGF like domain containing 3
GeneID:63943	FKBP prolyl isomerase like
GeneID:1992	serpin family B member 1
GeneID:80328	UL16 binding protein 2
GeneID:80329	UL16 binding protein 1
GeneID:2762	GDP-mannose 4,6-dehydratase
GeneID:170954	protein phosphatase 1 regulatory subunit 18
GeneID:55754	transmembrane protein 30A
GeneID:51660	mitochondrial pyruvate carrier 1
GeneID:2766	guanosine monophosphate reductase
GeneID:9425	chromodomain Y like
GeneID:84947	serine active site containing 1
GeneID:7124	tumor necrosis factor
